"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2014","44.90","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2014","44.90","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2014","44.90","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Southern Asia","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2014","44.90","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2014","42.30","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2014","42.30","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2014","42.30","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Southern Asia","Afghanistan","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2014","42.30","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2016","30.20","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Small Island Developing States","Anguilla","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2016","30.20","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2016","22.20","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Small Island Developing States","Anguilla","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2016","22.20","SOURCE:  Global School-based Student Health Survey (GSHS)"
"SDG: Europe","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2014","22.58","SOURCE:  The Health Behaviour in School-aged Children (HBSC)"
"SDG: Europe and Northern America","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2014","22.58","SOURCE:  The Health Behaviour in School-aged Children (HBSC)"
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, male (%)","2014","22.58","SOURCE:  The Health Behaviour in School-aged Children (HBSC)"
"SDG: Europe","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in primary education, male (%)","2019","52.59","SOURCE:  TIMSS 2019 G4"
"SDG: Europe and Northern America","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in primary education, male (%)","2019","52.59","SOURCE:  TIMSS 2019 G4"
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in primary education, male (%)","2019","52.59","SOURCE:  TIMSS 2019 G4"
"SDG: Europe","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2018","43.73","SOURCE:  PISA 2018"
"SDG: Europe and Northern America","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2018","43.73","SOURCE:  PISA 2018"
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2018","43.73","SOURCE:  PISA 2018"
"SDG: Europe","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2014","17.31","SOURCE:  The Health Behaviour in School-aged Children (HBSC)"
"SDG: Europe and Northern America","Albania","4.a","4.a.2","Percentage of students experiencing bullying in the last 12 months in lower secondary education, female (%)","2014","17.31","SOURCE:  The Health Behaviour in School-aged Children (HBSC)"
