"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Central and Southern Asia","Afghanistan","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Landlocked Developing Countries","Afghanistan","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Least Developed Countries","Afghanistan","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Southern Asia","Afghanistan","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: Low; Coverage: Low"
"SDG: Latin America and the Caribbean","Argentina","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","1.00","SOURCE: Total Score : Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: High; Coverage: High; 2. Resources to schools - Existence: Yes; Volume: Medium; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: High; Coverage: Medium; 4. Social resources to students - Existence: Yes; Volume: High; Coverage: High"
"SDG: Landlocked Developing Countries","Burundi","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Low; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: High; Coverage: Low"
"SDG: Least Developed Countries","Burundi","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Low; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: High; Coverage: Low"
"SDG: Sub-Saharan Africa","Burundi","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: Yes; Volume: Low; Coverage: Low; 2. Resources to schools - Existence: Yes; Volume: Low; Coverage: Medium; 3. Education resources to students - Existence: No; Volume: ; Coverage: ; 4. Social resources to students - Existence: Yes; Volume: High; Coverage: Low"
"SDG: Least Developed Countries","Benin","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: High; 4. Social resources to students - Existence: No; Volume: ; Coverage:"
"SDG: Sub-Saharan Africa","Benin","4.5","4.5.3","Existence of funding mechanisms to reallocate education resources to disadvantaged populations","2020","0.00","SOURCE: Total Score : Not-Equity-oriented; 1. Overall education financing mechanisms - Existence: No; Volume: ; Coverage: ; 2. Resources to schools - Existence: Yes; Volume: High; Coverage: Medium; 3. Education resources to students - Existence: Yes; Volume: Medium; Coverage: High; 4. Social resources to students - Existence: No; Volume: ; Coverage:"
