"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2015","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2015","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2013","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2013","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2021","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2021","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2019","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2019","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood education, male (%)","2012","106.72",""
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood education, male (%)","2012","106.72",""
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood education, female (%)","2014","104.61",""
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood education, female (%)","2014","104.61",""
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2019","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2019","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2021","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2021","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2018","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2018","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2016","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2016","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2018","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2018","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2016","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2016","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2015","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2015","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood education, female (%)","2013","104.35",""
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood education, female (%)","2013","104.35",""
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2020","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2020","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2020","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2020","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2012","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2012","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2013","0.00","Magnitude not applicable"
"SDG: Small Island Developing States","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, male (%)","2013","0.00","Magnitude not applicable"
"SDG: Latin America and the Caribbean","Aruba","4.2","4.2.4","Gross enrolment ratio, early childhood educational development programmes, female (%)","2012","0.00","Magnitude not applicable"
