"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, female (%)","2014","103.01",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, female (%)","2014","103.01",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2014","100.82",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2014","100.82",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, female (%)","2013","106.65",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, female (%)","2013","106.65",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, male (%)","2014","95.59",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, male (%)","2014","95.59",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2014","101.56",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2014","101.56",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2013","92.04",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2013","92.04",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, male (%)","2013","96.54",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of lower secondary general education, male (%)","2013","96.54",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2013","101.26",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2013","101.26",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2010","91.79",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2010","91.79",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2010","97.84",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2010","97.84",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2017","101.29",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2017","101.29",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2017","101.29",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2017","101.29",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2016","63.60",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2016","63.60",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2016","63.60",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2016","63.60",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2018","103.28",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2018","103.28",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2018","103.28",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, male (%)","2018","103.28",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2019","65.76",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2019","65.76",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2019","65.76",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2019","65.76",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2017","66.69",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2017","66.69",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2017","66.69",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.3","Gross intake ratio to the last grade of primary education, female (%)","2017","66.69",""
