"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.5","4.5.4","Initial government funding per primary student as a percentage of GDP per capita","2014","15.65",""
"SDG: Small Island Developing States","Aruba","4.5","4.5.4","Initial government funding per primary student as a percentage of GDP per capita","2014","15.65",""
"SDG: Latin America and the Caribbean","Aruba","4.5","4.5.4","Initial government funding per primary student as a percentage of GDP per capita","2013","16.29",""
"SDG: Small Island Developing States","Aruba","4.5","4.5.4","Initial government funding per primary student as a percentage of GDP per capita","2013","16.29",""
"SDG: Latin America and the Caribbean","Aruba","4.5","4.5.4","Initial government funding per primary student as a percentage of GDP per capita","2012","17.37",""
"SDG: Small Island Developing States","Aruba","4.5","4.5.4","Initial government funding per primary student as a percentage of GDP per capita","2012","17.37",""
"SDG: Central and Southern Asia","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2013","8.93",""
"SDG: Landlocked Developing Countries","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2013","8.93",""
"SDG: Least Developed Countries","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2013","8.93",""
"SDG: Southern Asia","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2013","8.93",""
"SDG: Central and Southern Asia","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2010","13.98",""
"SDG: Landlocked Developing Countries","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2010","13.98",""
"SDG: Least Developed Countries","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2010","13.98",""
"SDG: Southern Asia","Afghanistan","4.5","4.5.4","Initial government funding per upper secondary student as a percentage of GDP per capita","2010","13.98",""
"SDG: Central and Southern Asia","Afghanistan","4.5","4.5.4","Initial government funding per lower secondary student as a percentage of GDP per capita","2011","9.84",""
