"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Least Developed Countries","Angola","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2016","2.70",""
"SDG: Sub-Saharan Africa","Angola","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2016","2.70",""
"SDG: Least Developed Countries","Angola","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2016","13.23",""
"SDG: Sub-Saharan Africa","Angola","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2016","13.23",""
"SDG: Least Developed Countries","Angola","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2016","25.65",""
"SDG: Sub-Saharan Africa","Angola","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2016","25.65",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2019","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2019","100.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2010","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2010","100.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2010","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2010","100.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2019","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2019","100.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2019","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2019","100.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2010","75.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2010","75.00",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2019","83.92",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2019","83.92",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2019","83.92",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2018","68.33",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2018","68.33",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to Internet for pedagogical purposes (%)","2018","68.33",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2021","72.27",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2021","72.27",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2021","72.27",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2018","46.77",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2018","46.77",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2018","46.77",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2020","56.81",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2020","56.81",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2020","56.81",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2018","90.91",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2018","90.91",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2018","90.91",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2019","50.71",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2019","50.71",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of primary schools with access to Internet for pedagogical purposes (%)","2019","50.71",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2017","76.19",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2017","76.19",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2017","76.19",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2019","90.95",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2019","90.95",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of upper secondary schools with access to Internet for pedagogical purposes (%)","2019","90.95",""
