"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2022","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2022","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2012","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2012","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2011","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2011","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2021","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2021","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2014","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2014","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2020","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2020","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2021","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2021","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2020","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2020","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2017","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2017","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2018","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2018","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2015","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2015","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2015","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2015","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2014","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of free primary and secondary education guaranteed in legal frameworks","2014","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2022","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2022","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2019","11.00",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2019","11.00",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.7","Number of years of compulsory primary and secondary education guaranteed in legal frameworks","2012","11.00",""
