"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2013","0.00","Magnitude nil"
"SDG: Small Island Developing States","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2013","0.00","Magnitude nil"
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2013","2.39",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2013","2.39",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2014","0.00","Magnitude nil"
"SDG: Small Island Developing States","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2014","0.00","Magnitude nil"
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2010","0.00","Magnitude nil"
"SDG: Small Island Developing States","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2010","0.00","Magnitude nil"
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2010","6.72",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2010","6.72",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2014","0.02",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2014","0.02",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2016","71.26","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2016","71.26","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2016","71.26","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2016","71.26","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2017","70.01","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2017","70.01","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2017","70.01","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2017","70.01","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2013","66.22","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2013","66.22","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2013","66.22","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2013","66.22","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2014","69.05","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2014","69.05","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2014","69.05","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2014","69.05","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2015","69.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2015","69.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2015","69.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2015","69.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2018","68.69","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2018","68.69","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2018","68.69","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2018","68.69","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2010","25.35","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2010","25.35","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2011","28.52",""
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2011","28.52",""
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2011","34.44",""
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2011","34.44",""
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","2010","10.74","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","2010","10.74","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, female (%)","2010","34.03","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, female (%)","2010","34.03","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2010","85.36","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2010","85.36","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2016","38.52","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2016","38.52","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2010","44.31","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2010","44.31","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, male (%)","2010","13.03","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, male (%)","2010","13.03","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2010","45.16","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2010","45.16","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2016","31.18","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2016","31.18","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","2011","8.16",""
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","2011","8.16",""
"SDG: Least Developed Countries","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2011","54.28",""
"SDG: Sub-Saharan Africa","Angola","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2011","54.28",""
"SDG: Latin America and the Caribbean","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2019","14.23",""
"SDG: Small Island Developing States","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2019","14.23",""
"SDG: Latin America and the Caribbean","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2011","0.00","Magnitude nil"
"SDG: Small Island Developing States","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2011","0.00","Magnitude nil"
"SDG: Latin America and the Caribbean","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2010","0.00","Magnitude nil"
"SDG: Small Island Developing States","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2010","0.00","Magnitude nil"
"SDG: Latin America and the Caribbean","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2010","21.66",""
"SDG: Small Island Developing States","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2010","21.66",""
"SDG: Latin America and the Caribbean","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2019","0.00","Magnitude nil"
"SDG: Small Island Developing States","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2019","0.00","Magnitude nil"
"SDG: Latin America and the Caribbean","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2011","7.89",""
"SDG: Small Island Developing States","Anguilla","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, female (%)","2011","7.89",""
"SDG: Europe","Albania","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2013","15.92",""
"SDG: Europe and Northern America","Albania","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2013","15.92",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2013","15.92",""
"SDG: Europe","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","2020","5.54","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Europe and Northern America","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","2020","5.54","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, male (%)","2020","5.54","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Europe","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2011","9.78",""
"SDG: Europe and Northern America","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2011","9.78",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2011","9.78",""
"SDG: Europe","Albania","4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, male (%)","2018","5.22",""
"SDG: Europe and Northern America","Albania","4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, male (%)","2018","5.22",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.1","4.1.4","Out-of-school rate for adolescents of lower secondary school age, male (%)","2018","5.22",""
"SDG: Europe","Albania","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2017","5.19",""
"SDG: Europe and Northern America","Albania","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2017","5.19",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.1","4.1.4","Out-of-school rate for children one year younger than official primary entry age, male (%)","2017","5.19",""
"SDG: Europe","Albania","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2014","15.78","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Europe and Northern America","Albania","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2014","15.78","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.1","4.1.4","Out-of-school rate for youth of upper secondary school age, female (%)","2014","15.78","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Europe","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2010","11.54",""
"SDG: Europe and Northern America","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2010","11.54",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.1","4.1.4","Out-of-school rate for children of primary school age, female (%)","2010","11.54",""
