"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2013","25.47",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2013","25.47",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)","2014","10.37",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)","2014","10.37",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2014","25.77",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2014","25.77",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)","2010","10.90",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)","2010","10.90",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2011","15.37",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2011","15.37",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, female (%)","2014","7.56",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, female (%)","2014","7.56",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)","2013","10.98",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, male (%)","2013","10.98",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, female (%)","2010","7.36",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, female (%)","2010","7.36",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, female (%)","2013","7.96",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in primary education who are at least 2 years over-age for their current grade, female (%)","2013","7.96",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2011","20.18",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2011","20.18",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2013","35.23",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2013","35.23",""
"SDG: Latin America and the Caribbean","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2014","36.76",""
"SDG: Small Island Developing States","Aruba","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2014","36.76",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2019","12.61",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2019","12.61",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2019","12.61",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2019","12.61",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2018","11.50",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2018","11.50",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2018","11.50",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2018","11.50",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2013","22.63",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2013","22.63",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2013","22.63",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2013","22.63",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2014","18.10",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2014","18.10",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2014","18.10",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2014","18.10",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2013","22.52",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2013","22.52",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2013","22.52",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2013","22.52",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2017","11.11",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2017","11.11",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2017","11.11",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2017","11.11",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2018","10.46",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2018","10.46",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2018","10.46",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, female (%)","2018","10.46",""
"SDG: Central and Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2019","15.16",""
"SDG: Landlocked Developing Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2019","15.16",""
"SDG: Least Developed Countries","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2019","15.16",""
"SDG: Southern Asia","Afghanistan","4.1","4.1.5","Percentage of pupils enrolled in lower secondary general education who are at least 2 years over-age for their current grade, male (%)","2019","15.16",""
