"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Europe","Albania","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2018","95.60","SOURCE:  PISA 2018"
"SDG: Europe and Northern America","Albania","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2018","95.60","SOURCE:  PISA 2018"
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2018","95.60","SOURCE:  PISA 2018"
"SDG: Europe","Albania","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2018","96.39","SOURCE:  PISA 2018"
"SDG: Europe and Northern America","Albania","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2018","96.39","SOURCE:  PISA 2018"
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2018","96.39","SOURCE:  PISA 2018"
"SDG: Northern Africa and Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2018","61.90","SOURCE:  PISA 2018"
"SDG: Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2018","61.90","SOURCE:  PISA 2018"
"SDG: Northern Africa and Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2019","60.67","SOURCE:  TIMSS 2019 G8"
"SDG: Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2019","60.67","SOURCE:  TIMSS 2019 G8"
"SDG: Northern Africa and Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2015","64.43","SOURCE:  avg. of PISA 2015 and TIMSS 2015 8th grade"
"SDG: Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, female (%)","2015","64.43","SOURCE:  avg. of PISA 2015 and TIMSS 2015 8th grade"
"SDG: Northern Africa and Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2015","62.68","SOURCE:  avg. of PISA 2015 and TIMSS 2015 8th grade"
"SDG: Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2015","62.68","SOURCE:  avg. of PISA 2015 and TIMSS 2015 8th grade"
"SDG: Northern Africa and Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2019","58.36","SOURCE:  TIMSS 2019 G8"
"SDG: Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2019","58.36","SOURCE:  TIMSS 2019 G8"
"SDG: Northern Africa and Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2018","55.32","SOURCE:  PISA 2018"
"SDG: Western Asia","United Arab Emirates","4.5","4.5.2","Percentage of students in lower secondary education who have their first or home language as language of instruction, male (%)","2018","55.32","SOURCE:  PISA 2018"
"SDG: Latin America and the Caribbean","Argentina","4.5","4.5.2","Percentage of students at the end of primary education who have their first or home language as language of instruction, male (%)","2013","98.41","SOURCE:  LLECE 2013 G6"
