"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2012","99.80",""
"SDG: Small Island Developing States","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2012","99.80",""
"SDG: Latin America and the Caribbean","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2012","97.85",""
"SDG: Small Island Developing States","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2012","97.85",""
"SDG: Latin America and the Caribbean","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2010","100.00",""
"SDG: Small Island Developing States","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2010","100.00",""
"SDG: Latin America and the Caribbean","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2011","100.00",""
"SDG: Small Island Developing States","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2011","100.00",""
"SDG: Latin America and the Caribbean","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2010","100.00",""
"SDG: Small Island Developing States","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2010","100.00",""
"SDG: Latin America and the Caribbean","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2011","98.91",""
"SDG: Small Island Developing States","Aruba","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2011","98.91",""
"SDG: Least Developed Countries","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2011","45.18",""
"SDG: Sub-Saharan Africa","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2011","45.18",""
"SDG: Least Developed Countries","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2015","50.73",""
"SDG: Sub-Saharan Africa","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2015","50.73",""
"SDG: Least Developed Countries","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)","2015","47.81",""
"SDG: Sub-Saharan Africa","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)","2015","47.81",""
"SDG: Least Developed Countries","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, female (%)","2015","59.44",""
"SDG: Sub-Saharan Africa","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, female (%)","2015","59.44",""
"SDG: Least Developed Countries","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2015","42.66",""
"SDG: Sub-Saharan Africa","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2015","42.66",""
"SDG: Least Developed Countries","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2011","51.45",""
"SDG: Sub-Saharan Africa","Angola","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2011","51.45",""
"SDG: Latin America and the Caribbean","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2010","25.00",""
"SDG: Small Island Developing States","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2010","25.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2011","14.29",""
"SDG: Small Island Developing States","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2011","14.29",""
"SDG: Latin America and the Caribbean","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2011","90.36",""
"SDG: Small Island Developing States","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2011","90.36",""
"SDG: Latin America and the Caribbean","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2010","54.81",""
"SDG: Small Island Developing States","Anguilla","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2010","54.81",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2021","60.08",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2021","60.08",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2021","60.08",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2020","57.00",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2020","57.00",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2020","57.00",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2018","90.91",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2018","90.91",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, female (%)","2018","90.91",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2021","78.40",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2021","78.40",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2021","78.40",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)","2020","48.38",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)","2020","48.38",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)","2020","48.38",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2021","61.75",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2021","61.75",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, female (%)","2021","61.75",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2021","72.21",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2021","72.21",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2021","72.21",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2018","49.05",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2018","49.05",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, male (%)","2018","49.05",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, female (%)","2021","67.04",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, female (%)","2021","67.04",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in lower secondary education, female (%)","2021","67.04",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2018","84.37",""
"SDG: Europe and Northern America","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2018","84.37",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in primary education, male (%)","2018","84.37",""
"SDG: Europe","Albania","4.c","4.c.1","Proportion of teachers with the minimum required qualifications in upper secondary education, male (%)","2021","59.14",""
