"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2015","48.25",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2015","48.25",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2015","48.25",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2015","48.25",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2018","40.71",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2018","40.71",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2018","40.71",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2018","40.71",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2016","45.49",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2016","45.49",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2016","45.49",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2016","45.49",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2018","61.71",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2018","61.71",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2018","61.71",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2018","61.71",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2019","40.94",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2019","40.94",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2019","40.94",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2019","40.94",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2017","63.12",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2017","63.12",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2017","63.12",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2017","63.12",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2015","48.99",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2015","48.99",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2015","48.99",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2015","48.99",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2019","60.39",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2019","60.39",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2019","60.39",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2019","60.39",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2017","42.67","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2017","42.67","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2017","42.67","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2017","42.67","QUALIFIER: This data point is a NATIONAL ESTIMATE."
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2016","44.48",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2016","44.48",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2016","44.48",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in upper secondary (headcount basis)","2016","44.48",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2016","58.65","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2016","58.65","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2016","58.65","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in primary education (headcount basis)","2016","58.65","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2017","44.17",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.4","Pupil-qualified teacher ratio in lower secondary (headcount basis)","2017","44.17",""
