"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2018","86.65",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2018","86.65",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2018","86.65",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2018","86.65",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2017","80.66",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2017","80.66",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2017","80.66",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2017","80.66",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2018","86.35",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2018","86.35",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2018","86.35",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2018","86.35",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2019","88.68",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2019","88.68",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2019","88.68",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2019","88.68",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2017","84.72",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2017","84.72",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2017","84.72",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2017","84.72",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2016","70.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2016","70.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2016","70.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2016","70.55","QUALIFIER: This data point is an ESTIMATE produced by the UNESCO INSTITUTE FOR STATISTICS."
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2019","81.38",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2019","81.38",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2019","81.38",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2019","81.38",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2017","71.37",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2017","71.37",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2017","71.37",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2017","71.37",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2016","66.52",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2016","66.52",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2016","66.52",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2016","66.52",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2019","80.79",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2019","80.79",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2019","80.79",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2019","80.79",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2018","86.67",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2018","86.67",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2018","86.67",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, female (%)","2018","86.67",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2015","60.16",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2015","60.16",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2015","60.16",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, male (%)","2015","60.16",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2019","89.96",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2019","89.96",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2019","89.96",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2019","89.96",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2016","80.75",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2016","80.75",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2016","80.75",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2016","80.75",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2015","76.73",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2015","76.73",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2015","76.73",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in upper secondary education, female (%)","2015","76.73",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2018","74.75",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2018","74.75",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2018","74.75",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2018","74.75",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2017","71.36",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2017","71.36",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2017","71.36",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2017","71.36",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2019","89.44",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2019","89.44",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2019","89.44",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2019","89.44",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2016","81.16",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2016","81.16",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2016","81.16",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, female (%)","2016","81.16",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2019","79.28",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2019","79.28",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2019","79.28",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in primary education, male (%)","2019","79.28",""
"SDG: Central and Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2015","60.56",""
"SDG: Landlocked Developing Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2015","60.56",""
"SDG: Least Developed Countries","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2015","60.56",""
"SDG: Southern Asia","Afghanistan","4.c","4.c.3","Percentage of qualified teachers in lower secondary education, male (%)","2015","60.56",""
