"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Europe","Albania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","75.30","SOURCE: DHS 2017-2018"
"SDG: Europe and Northern America","Albania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","75.30","SOURCE: DHS 2017-2018"
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","75.30","SOURCE: DHS 2017-2018"
"SDG: Europe","Albania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","80.30","SOURCE: DHS 2017-2018"
"SDG: Europe and Northern America","Albania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","80.30","SOURCE: DHS 2017-2018"
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","80.30","SOURCE: DHS 2017-2018"
"SDG: Latin America and the Caribbean","Argentina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","85.00","SOURCE: MICS 2011-2012"
"SDG: Latin America and the Caribbean","Argentina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","82.70","SOURCE: MICS 2011-2012"
"SDG: Landlocked Developing Countries","Burundi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","58.70","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Burundi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","58.70","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Burundi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2017","58.70","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Landlocked Developing Countries","Burundi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","57.60","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Burundi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","57.60","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Burundi","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2017","57.60","SOURCE: DHS 2016-2017. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Benin","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","39.40","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Benin","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2018","39.40","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Least Developed Countries","Benin","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","38.50","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Sub-Saharan Africa","Benin","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2018","38.50","SOURCE: DHS 2017-2018. Based on the youngest child aged 36-59 months. Data differ from the standard definition or refer to only part of a country."
"SDG: Central and Southern Asia","Bangladesh","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2019","62.90","SOURCE: MICS 2019"
"SDG: Least Developed Countries","Bangladesh","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2019","62.90","SOURCE: MICS 2019"
"SDG: Southern Asia","Bangladesh","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2019","62.90","SOURCE: MICS 2019"
"SDG: Central and Southern Asia","Bangladesh","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2019","62.90","SOURCE: MICS 2019"
"SDG: Least Developed Countries","Bangladesh","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2019","62.90","SOURCE: MICS 2019"
"SDG: Southern Asia","Bangladesh","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2019","62.90","SOURCE: MICS 2019"
"SDG: Europe","Bosnia and Herzegovina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","95.50","SOURCE: MICS 2011-2012"
"SDG: Europe and Northern America","Bosnia and Herzegovina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","95.50","SOURCE: MICS 2011-2012"
"SDG: Europe, Northern America, Australia and New Zealand","Bosnia and Herzegovina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","95.50","SOURCE: MICS 2011-2012"
"SDG: Europe","Bosnia and Herzegovina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","94.70","SOURCE: MICS 2011-2012"
"SDG: Europe and Northern America","Bosnia and Herzegovina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","94.70","SOURCE: MICS 2011-2012"
"SDG: Europe, Northern America, Australia and New Zealand","Bosnia and Herzegovina","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","94.70","SOURCE: MICS 2011-2012"
"SDG: Europe","Belarus","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","97.00","SOURCE: MICS 2012"
"SDG: Europe and Northern America","Belarus","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","97.00","SOURCE: MICS 2012"
"SDG: Europe, Northern America, Australia and New Zealand","Belarus","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","97.00","SOURCE: MICS 2012"
"SDG: Europe","Belarus","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","94.40","SOURCE: MICS 2012"
"SDG: Europe and Northern America","Belarus","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","94.40","SOURCE: MICS 2012"
"SDG: Europe, Northern America, Australia and New Zealand","Belarus","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","94.40","SOURCE: MICS 2012"
"SDG: Latin America and the Caribbean","Belize","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","86.10","SOURCE: MICS 2015"
"SDG: Small Island Developing States","Belize","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2015","86.10","SOURCE: MICS 2015"
"SDG: Latin America and the Caribbean","Belize","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","88.90","SOURCE: MICS 2015"
"SDG: Small Island Developing States","Belize","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2015","88.90","SOURCE: MICS 2015"
"SDG: Latin America and the Caribbean","Barbados","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","96.70","SOURCE: MICS 2012"
"SDG: Small Island Developing States","Barbados","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2012","96.70","SOURCE: MICS 2012"
"SDG: Latin America and the Caribbean","Barbados","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","96.50","SOURCE: MICS 2012"
"SDG: Small Island Developing States","Barbados","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2012","96.50","SOURCE: MICS 2012"
"SDG: Sub-Saharan Africa","Côte d'Ivoire","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2016","28.60","SOURCE: MICS 2016"
"SDG: Sub-Saharan Africa","Côte d'Ivoire","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2016","28.80","SOURCE: MICS 2016"
"SDG: Sub-Saharan Africa","Cameroon","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, female (%)","2014","44.00","SOURCE: MICS 2014"
"SDG: Sub-Saharan Africa","Cameroon","4.2","4.2.3","Percentage of children under 5 years experiencing positive and stimulating home learning environments, male (%)","2014","44.60","SOURCE: MICS 2014"
