"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2011","Male","Not applicable","Percent","92.36228"
"Afghanistan","2011","Female","Not applicable","Percent","69.20791"
"Afghanistan","2011","All genders","Not applicable","Percent","81.09391"
"Afghanistan","2007","Male","Not applicable","Percent","64.79239"
"Afghanistan","2007","All genders","Not applicable","Percent","54.79766"
"Afghanistan","2007","Female","Not applicable","Percent","44.2326"
"Albania","2012","Male","Not applicable","Percent","80.06865"
"Albania","2012","Female","Not applicable","Percent","81.85243"
"Albania","2012","All genders","Not applicable","Percent","80.91982"
"Albania","2011","Male","Not applicable","Percent","78.342"
"Albania","2011","All genders","Not applicable","Percent","78.30871"
"Albania","2011","Female","Not applicable","Percent","78.27244"
"Albania","2010","Male","Not applicable","Percent","77.11464"
"Albania","2010","Female","Not applicable","Percent","80.74411"
"Albania","2010","All genders","Not applicable","Percent","78.85555"
"Algeria","2014","All genders","Not applicable","Percent","85.23353"
"Algeria","2014","Male","Not applicable","Percent","86.83013"
"Algeria","2014","Female","Not applicable","Percent","83.58709"
"Algeria","2011","All genders","Not applicable","Percent","87.66191"
"Algeria","2011","Female","Not applicable","Percent","86.10778"
"Algeria","2011","Male","Not applicable","Percent","89.16644"
"Algeria","2009","All genders","Not applicable","Percent","86.68917"
"Algeria","2009","Male","Not applicable","Percent","88.04958"
"Algeria","2009","Female","Not applicable","Percent","85.27884"
"Algeria","2008","All genders","Not applicable","Percent","86.59736"
"Algeria","2008","Female","Not applicable","Percent","85.12808"
"Algeria","2008","Male","Not applicable","Percent","88.0117"
"Algeria","2007","All genders","Not applicable","Percent","87.07683"
"Algeria","2007","Male","Not applicable","Percent","88.41501"
"Algeria","2007","Female","Not applicable","Percent","85.68422"
"Algeria","2006","All genders","Not applicable","Percent","84.01382"
"Algeria","2006","Female","Not applicable","Percent","82.98762"
"Algeria","2006","Male","Not applicable","Percent","84.9988"
"Algeria","2005","All genders","Not applicable","Percent","85.34378"
"Algeria","2005","Male","Not applicable","Percent","87.02156"
"Algeria","2005","Female","Not applicable","Percent","83.59431"
"Algeria","2004","All genders","Not applicable","Percent","86.89908"
"Algeria","2004","Female","Not applicable","Percent","85.80499"
"Algeria","2004","Male","Not applicable","Percent","87.94813"
"Algeria","2003","All genders","Not applicable","Percent","86.06219"
"Algeria","2003","Male","Not applicable","Percent","86.95273"
"Algeria","2003","Female","Not applicable","Percent","85.13353"
"Algeria","2002","All genders","Not applicable","Percent","90.9458"
