"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2010","100.00",""
"SDG: Small Island Developing States","Aruba","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2010","100.00",""
"SDG: Latin America and the Caribbean","Aruba","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2010","100.00",""
"SDG: Small Island Developing States","Aruba","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2010","100.00",""
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2019","8.96",""
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2019","8.96",""
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2019","8.96",""
"SDG: Southern Asia","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2019","8.96",""
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","10.31",""
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","10.31",""
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","10.31",""
"SDG: Southern Asia","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","10.31",""
"SDG: Least Developed Countries","Angola","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2016","7.02",""
"SDG: Sub-Saharan Africa","Angola","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2016","7.02",""
"SDG: Least Developed Countries","Angola","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2016","25.34",""
"SDG: Sub-Saharan Africa","Angola","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2016","25.34",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2019","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2019","100.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","100.00",""
"SDG: Latin America and the Caribbean","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2010","100.00",""
"SDG: Small Island Developing States","Anguilla","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2010","100.00",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2021","83.02",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2021","83.02",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2021","83.02",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2020","54.32",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2020","54.32",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2020","54.32",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","82.82",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","82.82",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of lower secondary schools with access to computers for pedagogical purposes (%)","2019","82.82",""
"SDG: Europe","Albania","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2018","50.38",""
"SDG: Europe and Northern America","Albania","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2018","50.38",""
"SDG: Europe, Northern America, Australia and New Zealand","Albania","4.a","4.a.1","Proportion of primary schools with access to computers for pedagogical purposes (%)","2018","50.38",""
