"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Latin America and the Caribbean","Aruba","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2010","100.00",""
"SDG: Small Island Developing States","Aruba","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2010","100.00",""
"SDG: Latin America and the Caribbean","Aruba","4.a","4.a.1","Proportion of primary schools with access to electricity (%)","2010","100.00",""
"SDG: Small Island Developing States","Aruba","4.a","4.a.1","Proportion of primary schools with access to electricity (%)","2010","100.00",""
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2018","19.42",""
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2018","19.42",""
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2018","19.42",""
"SDG: Southern Asia","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2018","19.42",""
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to electricity (%)","2019","16.12",""
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to electricity (%)","2019","16.12",""
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to electricity (%)","2019","16.12",""
"SDG: Southern Asia","Afghanistan","4.a","4.a.1","Proportion of primary schools with access to electricity (%)","2019","16.12",""
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2016","16.54",""
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2016","16.54",""
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2016","16.54",""
"SDG: Southern Asia","Afghanistan","4.a","4.a.1","Proportion of lower secondary schools with access to electricity (%)","2016","16.54",""
