"Region","Country","Target","Indicator Number","Indicator Name","Year","Value","Metadata"
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2018","218.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2018","218.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2018","218.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2018","218.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2013","199.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2013","199.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2013","199.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2013","199.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2016","143.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2016","143.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2016","143.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2016","143.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2014","229.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2014","229.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2014","229.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2014","229.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2015","314.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2015","314.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2015","314.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2015","314.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2020","93.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2020","93.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2020","93.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2020","93.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Central and Southern Asia","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2017","115.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Landlocked Developing Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2017","115.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
"SDG: Least Developed Countries","Afghanistan","4.a","4.a.3","Number of attacks on students, personnel and institutions","2017","115.00","SOURCE: Indicator is based on data compiled by the Global Coalition to Protect Education from Attack (GCPEA) for the Education under Attack database."
